question_text,question_image,correct_answer,option_1_text,option_2_text,option_3_text,option_4_text,option_1_image,option_2_image,option_3_image,option_4_image,answer_explanation_text,answer_explanation_image
What would be the influence on the weather conditions when in mid-winter a feeble high pressure develops over the North-Western part of India? <br/><br/>1. High and dry winds would blow outward from this high-pressure area. <br/>2. The Northern plain would become cold. <br/>3. Scorching winds (locally called loo) would blow during the day time. <br/>4. There would be torrential rains brought by thunderstorms. <br/><br/>Select the correct answer using the codes given below:,NA,A,1 and 2,2 and 3,3 and 4,All of these,NA,NA,NA,NA,High and dry winds would blow outwards from this high-pressure area when high pressure develops over the North-Western part of India.,NA
"Consider the following statements : <br/><br/>1. In the coastal regions, the land breeze blows over to the sea during the night. <br/>2. In the coastal regions, during the night, the air over the sea is warmer than the air over land. <br/><br/>Which of the statements given above is/are correct?",NA,B,Only 1,Both 1 and 2,Only 2,Neither 1 nor 2,NA,NA,NA,NA,"Land heats and cools more rapidly than the sea. During the day the land gets heated and the air over the land being hotter and lighter than that over the sea, a low pressure area is created over the land. The hot air rises and cool air from the see ruches in towards the land, which is referred as sea breeze.At night the land rapidly loses its heat faster than the sea. The air over the sea is therefore warmer and lighter than over the land and a breeze blows but from the land towards the sea",NA
Which of the following statements is/are correct? <br/><br/>1. Inter-Tropical Convergence Zone is a low-pressure belt which forms an important zone of contact over Northern India and Pakistan. <br/>2. The Intertropical Convergence Zone invites inflow of winds from different directions. <br/><br/>Select the correct answer using the code given below:,NA,B,1 only,2 only,Both 1 and 2,Neither 1 nor 2,NA,NA,NA,NA,"The Intertropical Convergence Zone (ITCZ), known by sailors as the doldrums, is the area encircling the earth near the equator where the northeast and southeast trade winds converge.",NA
<q>Kal Baisakhi</q> gives rainfall to,NA,B,Rajasthan,West Bengal,Punjab,Goa,NA,NA,NA,NA,"During the hot weather period i.e from March to May the Eastern and North-eastern states of the subcontinent like West Bengal, Bihar, Assam, Odisha (parts) and Bangladesh experience a dramatic appearance of a special type of violent thunderstorm known as Norwester. <br/><br/>In Bengal it is known as <q>Kal Baisakhi</q> Apart from its destructive effects like a sudden rise in wind speed, lightning, thunder and hail the rainfall associated with the storm although small in amount, is extremely helpful for the pre-Kharif crops like jute, paddy, summer till and a large number of vegetables and fruits and the sudden drop in temperature gives relief after unbearable midday heat.",NA
"Consider the following statements and select the correct answer by using the codes given below: <br/><br/>Assertion (A): In South India, the semi-arid steppe climate is found in parts of Karnataka plateau. <br/><br/>Reason (R): It lies in the rain shadow area of Sahyadris. <br/><br/>Codes:",NA,C,"A is true, but R is false.","Both A and R are correct, but R is not the correct explanation of A.",Both A and R are correct and R is the correct explanation of A. ,"A is false, but R is true.",NA,NA,NA,NA,Due to rain shadow area of Sahyadrithe regions between Karnataka and Andhra Pradesh have become semi-arid.,NA
Consider the following statements and select the correct answer by using the codes given below: <br/><br/>Assertion (A): India enjoys a tropical monsoon climate. <br/><br/>Reason (R): India is located within the tropics. <br/><br/>Select the correct answer from the following codes:,NA,C,Both A and R are true and R is the correct explanation of A,"Both A and R are true, but R is not the correct explanation of A.","A is true, but R is false.","A is false, but R is true.",NA,NA,NA,NA,India is located in the middle of the tropic of cancer.,NA
Which of the following statements is/are correct? <br/><br/>I. Mumbai receives more rainfall than Pune because it is located at the windward side of Western Ghats <br/><br/>II. Vidarbha region experiences semi-arid climate as it is located in a rain shadow region <br/><br/>III. In India monsoon reaches Kashmir valley at the last <br/><br/>Select the correct answer using the code given below :,NA,A,"I, II and III",I and II only,II and III only,I only,NA,NA,NA,NA,"Pune is on the leeward side of the Western Ghats, it means that it lies in a rain shadow area. But Mumbai lies on the windward side and receives heavy rainfall. Vidarbha region experiences a semi-arid climate as it is located in a rain shadow region.",NA
The rainfall distribution pattern over the Ganga basin decreases from the:,NA,A,East to West and South to North,East to West and North to South,West to East and South to North,West to East and North to South,NA,NA,NA,NA,The rainfall distribution pattern over the Ganga basin decreases from the East to the West and South to North.,NA
Which one of the following would have happened if the Himalayas did not exist?,NA,C,Monsoon rains would have taken place in winter months,Coastal India would have experienced Mediterranean climate,North Indian plain would have been much cooler in winter,Northwestern part of India would have experienced humid condition,NA,NA,NA,NA,North Indian plain would have been much cooler in winter.,NA
Consider the following statements about cold waves in winter season in northern India: <br/><br/>1. There is a lack of maritime influence. <br/><br/>2. Northern India is nearer to the Himalayan region. <br/><br/>3. Air mass comes from polar regions to northern India. <br/><br/>Which of the statements given above is/are correct?,NA,D,1 only,2 and 3,1 and 3,1 and 2,NA,NA,NA,NA,"In northern India, there is light rainfall during winter. This is caused by the cyclonic storms which originate in the Mediterranean Sea and travel towards India. These winds are called western disturbances. They cause heavy snowfall in the higher reaches of the Himalayas and rainfall in the plains. They result in a cold wave in northern India",NA
What is the primary factor that influences the distribution of annual rainfall in India?,NA,B,Temperature variations between winter and summer,Upper air circulation caused by global weather patterns.,Western disturbances during the winter months.,Proximity to the Equator.,NA,NA,NA,NA,"The distribution of annual rainfall in India is primarily influenced by upper air circulation caused by factors controlling global weather patterns. This includes the presence of jet streams and the movement of air masses at higher altitudes, which play a crucial role in determining India&#39;s weather and monsoon patterns.",NA
What is the main cause of the variation in the distribution of annual rainfall in India?,NA,C,Temperature variations between winter and summer.,Presence of cyclonic depressions in the Bay of Bengal,Orographic effects and the presence of high mountains,Distance from the Equator,NA,NA,NA,NA,"The main cause of the variation in the distribution of annual rainfall in India is orographic effects and the presence of high mountains. When moist air is forced to ascend these mountains, it leads to variations in rainfall patterns across different regions of the country",NA
"Which branch of the southwest monsoon brings rainfall to the west coast of India, including Kerala and Karnataka?",NA,A,Arabian Sea branch.,Bay of Bengal branch.,South-east trade winds,North-westerly winds.,NA,NA,NA,NA,"The Arabian Sea branch of the southwest monsoon brings rainfall to the west coast of India, including states like Kerala and Karnataka. This branch of the monsoon is responsible for the heavy rainfall in these coastal areas.",NA
"Which factor contributes to the pulsating nature of the monsoon in India, characterized by wet and dry spells?",NA,B,Frequency of cyclonic depressions in the Arabian Sea,Movement of the monsoon trough of low pressure,Proximity to the Equator.,Presence of high mountains.,NA,NA,NA,NA,"The pulsating nature of the monsoon in India, with wet and dry spells, is primarily influenced by the movement of the monsoon trough of low pressure. The position of this trough and its axis determines the intensity and distribution of rainfall. When it shifts, it can result in longer dry spells or widespread rains.",NA
What is the main reason for the variation in rainfall received by different regions of India during the monsoon season?,NA,B,Proximity to the Equator.,Presence of high mountains and orography,Distance from the sea.,Western disturbances.,NA,NA,NA,NA,"The main reason for the variation in rainfall received by different regions of India during the monsoon season is the presence of high mountains and orography. When moist air is forced to ascend the slopes of mountain ranges or the edge of plateaus, it cools down, gets saturated, and leads to heavy rainfall on windward slopes. This creates variations in rainfall patterns across the country.",NA
Which phenomenon plays a crucial role in determining the onset of the south-west monsoon in India?,NA,B,Frequency of cyclonic depressions.,Movement of the ITCZ (Inter-Tropical Convergence Zone).,Western disturbances.,Proximity to the Equator.,NA,NA,NA,NA,"The onset of the south-west monsoon in India is crucially determined by the movement of the ITCZ (Inter-Tropical Convergence Zone). As this zone shifts northward, it attracts the south-west monsoon winds towards the Indian subcontinent.",NA
What causes the rainshadow effect in certain regions of India?,NA,C,Frequency of cyclonic depressions in the Arabian Sea.,Proximity to the Equator.,Presence of high mountains and orographic effects.,Movement of the ITCZ.,NA,NA,NA,NA,"The rainshadow effect in certain regions of India is caused by the presence of high mountains and orographic effects. When moist air is forced to ascend these mountains, it leads to heavy rainfall on windward slopes and creates a rainshadow region on the leeward side with much lower rainfall.",NA
Which branch of the jet stream is responsible for steering tropical depressions over India during the monsoon season?,NA,B,Northern branch of the jet stream,Southern branch of the jet stream,Eastern branch of the jet stream,Western branch of the jet stream,NA,NA,NA,NA,The southern branch of the jet stream is responsible for steering tropical depressions over India during the monsoon season. These depressions play a significant role in the distribution of monsoon rainfall.,NA
Which region of India receives the highest annual rainfall from the southwest monsoon?,NA,C,Western Rajasthan.,Northern Plains,North-eastern states.,Deccan Plateau.,NA,NA,NA,NA,"The north-eastern states of India receive the highest annual rainfall from the southwest monsoon. This is due to their hilly terrain and proximity to the Bay of Bengal, which results in heavy rainfall in this region.",NA
What is the primary factor responsible for the distribution of rainfall during the winter months in India?,NA,A,Frequency of western disturbances.,Proximity to the Equator.,Upper air circulation caused by global weather patterns.,Movement of the ITCZ.,NA,NA,NA,NA,"The distribution of rainfall during the winter months in India is primarily influenced by the frequency of western disturbances. These disturbances, originating in regions like the Mediterranean Sea, bring rainfall to northern India during the winter season.",NA
Which season in India is characterized by the onset of the south-west monsoon?,NA,C,Hot-Dry Season,Cold Dry Season,Hot-Wet Season,Retreating southwest monsoon season,NA,NA,NA,NA,"The season characterized by the onset of the south-west monsoon in India is known as the <q>Hot-Wet Season</q>, which occurs from June to September. This is the primary monsoon season in India.",NA
Which region of India receives the highest amount of annual rainfall?,NA,A,Western Coast and Western Ghats,Ganges Valley,Deccan Plateau,Thar Desert,NA,NA,NA,NA,"The western coast of India, along with the Western Ghats, receives the highest amount of annual rainfall in the country. This region is known for its heavy and consistent rainfall.",NA
What percentage of agriculture in India is dependent on monsoon rains?,NA,D,50%,60%,70%,80%,NA,NA,NA,NA,"Monsoon rains are crucial for Indian agriculture, and approximately 80% of agriculture in India depends on these rains. This heavy reliance on monsoons highlights their significance for the country&#39;s agricultural sector.",NA
What is the term for the sudden onset of heavy rain during the monsoon season in India?,NA,D,Rainburst,Cyclone,Loo,Monsoon Burst,NA,NA,NA,NA,The term for the sudden onset of heavy rain during the monsoon season in India is <q>Monsoon Burst</q>. This phenomenon is characterized by the rapid and heavy rainfall that marks the beginning of the monsoon season.,NA
Which factor can influence the intensity and amount of monsoon rainfall in India?,NA,C,Local wind patterns,Earth&#39;s rotation,Western disturbances,Temperature variations,NA,NA,NA,NA,"Western disturbances, which are low-pressure systems originating in west Asia and the Mediterranean region, can influence the intensity and amount of monsoon rainfall in India. They bring rainfall, especially to northern regions, during the winter season.",NA
"Which region of India experiences the highest temperatures, often reaching up to 50&deg;C in summer?",NA,B,Western Coast and Western Ghats,"Northern Plains, particularly Rajasthan",Eastern Coast,Himalayan Region,NA,NA,NA,NA,"The northern plains of India, particularly Rajasthan, experience some of the highest temperatures in the country, with summer temperatures often reaching up to 50&deg;C. This is due to factors like inland location and hot, dry winds.",NA
What is the primary source of moisture for the south-west monsoon winds in India?,NA,A,Indian Ocean,Bay of Bengal,Arabian Sea,Mediterranean Sea,NA,NA,NA,NA,"The primary source of moisture for the south-west monsoon winds in India is the Indian Ocean. These winds carry moisture from the Indian Ocean and bring it to the Indian subcontinent, leading to rainfall.",NA
"Which region of India experiences the coldest temperatures, often below freezing point during winter?",NA,C,Western Coast and Western Ghats,"Northern Plains, particularly Rajasthan",Himalayan Region,Eastern Coast,NA,NA,NA,NA,"The Himalayan region, including Jammu and Kashmir and Himachal Pradesh, experiences the coldest temperatures in India, with temperatures often falling below freezing point during winter.",NA
What is the term used for low-pressure systems that originate in the west Asian and Mediterranean regions and affect India during the winter season?,NA,D,Monsoon Burst,Cyclone,Loo,Western Distrubances,NA,NA,NA,NA,"Western disturbances are low-pressure systems that originate in the west Asian and Mediterranean regions and affect India during the winter season, bringing rainfall to certain regions.",NA
Which season in India is characterized by the retreat of the south-west monsoon?,NA,D,Hot-Dry Season,Cold Dry Season,Hot-Wet Season,Retreating southwest monsoon season,NA,NA,NA,NA,"The season characterized by the retreat of the south-west monsoon in India is known as the <q>Retreating southwest monsoon season</q>, which occurs from October to November.",NA
